movie_code,title,audience
20179462,위대한 쇼맨,1514467
20209161,언더워터,58253
20207893,프리즌 이스케이프,171325
20208122,카페 벨에포크,42007
20207501,그집,19455
20208264,미스비헤이비어,14787
20208282,더 플랫폼,61779
20196782,초미의 관심사,10351
20209029,아홉 스님,9020
20173226,패왕별희 디 오리지널,90898
20208686,콜 오브 와일드,32242
20189987,킬러의 보디가드 무삭제 특별판,10424
20207341,레이니 데이 인 뉴욕,84144
20113252,톰보이,23992
20205402,트롤: 월드 투어,144410
20207722,저 산 너머,93832
20197397,나의 청춘은 너의 것,80871
20208562,씨 피버,7124
20181685,호텔 레이크,61129
20206441,마이 스파이,51332
20192399,1917,858817
20167904,라라랜드,3728014
20184889,어벤져스: 엔드게임,13967427
20183782,기생충,10307053
20206190,서치 아웃,31624
20124721,어벤져스,7084961
20206021,건즈 아킴보,26820
20196716,유령선,15591
20204741,비밀정보원: 인 더 프리즌 ,17835
20148493,어벤져스: 에이지 오브 울트론,10501765
20206865,애프터 웨딩 인 뉴욕 ,6794
19888010,시네마 천국,42622
20206402,오픈 더 도어 ,24024
20205262,엽문4: 더 파이널,65832
20204107,주디,88718
20206447,라라걸,6430
20199842,인비저블맨,566214
20206446,n번째 이별 중,18935
20205902,신과 나: 100일간의 거래,5780
20205841,더 터닝 ,15305
20205708,스케어리 스토리:어둠의 속삭임 ,42506
20204791,다크 워터스 ,125718
20190280,날씨의 아이,672723
20193321,정직한 후보,1529330
20206424,사랑하고 있습니까,8749
20180962,지푸라기라도 잡고 싶은 짐승들,618938
20192240,작은 아씨들,847954
20180523,스타 이즈 본,519163
20205096,세인트 아가타 ,9666
20135428,어바웃 타임,3435478
20010238,메멘토,28685
20040598,해리포터와 아즈카반의 죄수,1832133
20204681,더 보이 2: 돌아온 브람스 ,22973
20193526,젠틀맨,71305
20190864,울프 콜,13914
20182447,클로젯,1265776
20197390,조조 래빗,105411
20184891,수퍼 소닉,113356
20180939,남산의 부장들,4748005
20193911,"하이, 젝시",21718
20198431,버즈 오브 프레이(할리 퀸의 황홀한 해방),399872
20192101,히트맨,2400805
20192984,극장판 미니특공대: 공룡왕 디노 ,71671
20100312,인셉션,5928845
20192300,스파이 지니어스 ,446274
20198676,타오르는 여인의 초상,127125
20191109,페인 앤 글로리,19008
20188421,미스터 주: 사라진 VIP,587819
20183002,해치지않아,1217492
20199581,닥터 두리틀,1604127
20196670,나쁜 녀석들: 포에버,543095
20198430,나이브스 아웃,795200
20192206,백두산,8242478
20184571,천문: 하늘에 묻는다,1990746
20195462,스타워즈: 라이즈 오브 스카이워커,485464
20198414,시동,3308844
20196272,미드웨이,941075
20197803,겨울왕국 2,13721190
20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,867161
20192401,포드 V 페라리,1323852
20191408,21 브릿지: 테러 셧다운 ,66366
20199981,눈의 여왕4,184801
20192721,캣츠,696173
20198818,프린스 코기,112330
20198681,쥬만지: 넥스트 레벨,1025799
20188462,감쪽같은 그녀,466928
20190545,카운트다운,72215
20197278,라스트 크리스마스,246596
20198182,아내를 죽였다,74840
20195002,블랙머니,2470153
20185161,나를 찾아줘,622170
20199576,러브 앳,83522
20199428,크롤,138355
20190142,굿 라이어,19928
20181434,신의 한 수: 귀수편,2147825
20191029,82년생 김지영,3665813
20197336,허슬러,35620
20196284,윤희에게,86344
20192083,터미네이터: 다크 페이트,2401975
20197721,엔젤 해즈 폴른,174999
20198421,좀비랜드: 더블 탭,134012
20184341,얼굴없는 보스,16355
20197279,아담스 패밀리,319305
20199950,조커,5239865
20191589,말레피센트 2,1432021
20193801,닥터 슬립,46343
20195920,가장 보통의 연애,2918536
20192589,빅 위시,28884
20196136,람보 : 라스트 워,92238
20198184,빅 2: 황금열쇠 대소동,11152
20184483,퍼펙트맨,1224676
20185361,두번할까요,169448
20197054,빅트립: 아기팬더 배달 대모험,32728
